message,intent,language
Student discount milta hai?,PRICE_INQUIRY,roman_urdu
Is there a monthly plan?,PRICE_INQUIRY,english
How much for a full month?,PRICE_INQUIRY,english
Bulk discount hai koi?,PRICE_INQUIRY,roman_urdu
What's the difference between your packages?,PRICE_INQUIRY,english
Price range kya hai?,PRICE_INQUIRY,roman_urdu
What services do you offer?,SERVICE_INQUIRY,english
What do you do exactly?,SERVICE_INQUIRY,english
Kya kya services hain aapki?,SERVICE_INQUIRY,roman_urdu
Do you offer home delivery?,SERVICE_INQUIRY,english
Can you tell me about your services?,SERVICE_INQUIRY,english
What's included?,SERVICE_INQUIRY,english
Do you do X?,SERVICE_INQUIRY,english
Is this something you can help with?,SERVICE_INQUIRY,english
What treatments are available?,SERVICE_INQUIRY,english
Aap kya kya karte ho?,SERVICE_INQUIRY,roman_urdu
Do you specialize in anything?,SERVICE_INQUIRY,english
Tell me about your offerings,SERVICE_INQUIRY,english
What kind of work do you do?,SERVICE_INQUIRY,english
Services ki list send karo,SERVICE_INQUIRY,roman_urdu
Do you handle corporate clients?,SERVICE_INQUIRY,english
Can you do custom orders?,SERVICE_INQUIRY,english
Do you work on weekends?,SERVICE_INQUIRY,english
What's your main specialty?,SERVICE_INQUIRY,english
Koi new services launch ki hain?,SERVICE_INQUIRY,roman_urdu
Do you have a menu/catalogue?,SERVICE_INQUIRY,english
Can I see your portfolio?,SERVICE_INQUIRY,english
What's your most popular service?,SERVICE_INQUIRY,english
Do you provide after-sales support?,SERVICE_INQUIRY,english
Guarantee milti hai?,SERVICE_INQUIRY,roman_urdu
Do you offer consultations?,SERVICE_INQUIRY,english
Home service available hai?,SERVICE_INQUIRY,roman_urdu
Are you open right now?,AVAILABILITY_CHECK,english
What are your hours?,AVAILABILITY_CHECK,english
Aap kab available ho?,AVAILABILITY_CHECK,roman_urdu
Are you open on Sundays?,AVAILABILITY_CHECK,english
What time do you close?,AVAILABILITY_CHECK,english
Kal open ho?,AVAILABILITY_CHECK,roman_urdu
Do you work on public holidays?,AVAILABILITY_CHECK,english
Opening time kya hai?,AVAILABILITY_CHECK,roman_urdu
Are you open today?,AVAILABILITY_CHECK,english
Do you have evening slots?,AVAILABILITY_CHECK,english
Any slots available this weekend?,AVAILABILITY_CHECK,english
Kya aap abhi available hain?,AVAILABILITY_CHECK,roman_urdu
Do you have a slot at 3pm?,AVAILABILITY_CHECK,english
When do you open?,AVAILABILITY_CHECK,english
Are you closed on Fridays?,AVAILABILITY_CHECK,english
Working hours batao,AVAILABILITY_CHECK,roman_urdu
Do you work after 6pm?,AVAILABILITY_CHECK,english
Can I come at 9am?,AVAILABILITY_CHECK,english
Is Saturday a working day for you?,AVAILABILITY_CHECK,english
Aaj available ho kya?,AVAILABILITY_CHECK,roman_urdu
I'm very disappointed with the service,COMPLAINT,english
This is not what I ordered,COMPLAINT,english
The quality was terrible,COMPLAINT,english
I want a refund,COMPLAINT,english
Bahut buri service thi,COMPLAINT,english
My order is wrong,COMPLAINT,english
You charged me twice,COMPLAINT,english
This is unacceptable,COMPLAINT,english
I've been waiting for 2 hours,COMPLAINT,english
Nobody called me back,COMPLAINT,english
The product is damaged,COMPLAINT,english
This is not working properly,COMPLAINT,english
I was told something different,COMPLAINT,english
Your staff was rude to me,COMPLAINT,english
I want to complain,COMPLAINT,english
I need this resolved immediately,COMPLAINT,english
Yeh kaam nahi kar raha,COMPLAINT,roman_urdu
Mujhe bohot bura laga,COMPLAINT,roman_urdu
You wasted my time,COMPLAINT,english
This is the third time this happened,COMPLAINT,english
I'm extremely unhappy,COMPLAINT,english
Please fix this issue,COMPLAINT,english
Mera paisa wapas karo,COMPLAINT,roman_urdu
I will leave a bad review,COMPLAINT,english
This is fraud,COMPLAINT,english
Why did no one respond earlier?,COMPLAINT,english
Where is my order?,ORDER_STATUS,english
When will my order arrive?,ORDER_STATUS,english
Order status check karna hai,ORDER_STATUS,roman_urdu
Has my order been dispatched?,ORDER_STATUS,english
My tracking number isn't working,ORDER_STATUS,english
When will you deliver?,ORDER_STATUS,english
Order kab tak ayega?,ORDER_STATUS,english
"I ordered 3 days ago, no update",ORDER_STATUS,english
Can you check my order status?,ORDER_STATUS,english
Is my order confirmed?,ORDER_STATUS,english
Order confirm hua ya nahi?,ORDER_STATUS,roman_urdu
Delivery kab hogi?,ORDER_STATUS,english
I haven't received my order,ORDER_STATUS,english
My order is late,ORDER_STATUS,english
Can you track my package?,ORDER_STATUS,english
Mera order kahan hai?,ORDER_STATUS,roman_urdu
Still waiting for my delivery,ORDER_STATUS,english
Order number X ka status batao,ORDER_STATUS,english
Did you get my order?,ORDER_STATUS,english
When was my order shipped?,ORDER_STATUS,english
I want to speak to a manager,ESCALATION_NEEDED,english
Can I talk to a human please?,ESCALATION_NEEDED,english
This AI is not helpful,ESCALATION_NEEDED,english
Transfer me to a real person,ESCALATION_NEEDED,english
I need to speak to someone directly,ESCALATION_NEEDED,english
Kisi insaan se baat karni hai,ESCALATION_NEEDED,roman_urdu
Please connect me to your team,ESCALATION_NEEDED,english
I need urgent help,ESCALATION_NEEDED,english
This is an emergency,ESCALATION_NEEDED,english
Can I get a callback?,ESCALATION_NEEDED,english
I need to escalate this,ESCALATION_NEEDED,english
Is there a direct number I can call?,ESCALATION_NEEDED,english
Please have someone call me,ESCALATION_NEEDED,english
Urgent matter hai,ESCALATION_NEEDED,roman_urdu
Human agent chahiye,ESCALATION_NEEDED,roman_urdu
I'd rather speak on a call,ESCALATION_NEEDED,english
Can your owner contact me?,ESCALATION_NEEDED,english
"I need a real person, not a bot",ESCALATION_NEEDED,english
This can't be resolved through chat,ESCALATION_NEEDED,english
Mujhe call karni hai,ESCALATION_NEEDED,roman_urdu
Where are you located?,LOCATION_INQUIRY,english
What's your address?,LOCATION_INQUIRY,english
Aap kahan ho?,LOCATION_INQUIRY,roman_urdu
How do I find you?,LOCATION_INQUIRY,english
Are you in Lahore?,LOCATION_INQUIRY,english
Do you have a physical location?,LOCATION_INQUIRY,english
Send me your location,LOCATION_INQUIRY,english
